,Bios,Movies,TV,Religion,Music,Sports,Books,Politics,Cluster #
673,Thinker. Evil pop culture practitioner. Reader. Web advocate. Hardcore tvaholic.,4.0,4.0,8.0,8.0,6.999999999999999,8.0,2.0,0.0
674,Troublemaker. Typical social media advocate. Entrepreneur. Zombie scholar. Music geek. Evil internet fanatic.,3.0,9.0,5.000000000000001,2.0,4.0,0.0,8.0,10.0
675,Falls down a lot. Pop culture geek. Avid social media fan. Friendly bacon specialist. Wannabe zombie evangelist. Typical beer maven.,6.0,5.000000000000001,6.0,9.0,2.0,1.0,9.0,2.0
676,General beer aficionado. Internetaholic. Bacon practitioner. Unapologetic student. Writer.,4.0,5.000000000000001,2.0,6.0,3.0,9.0,6.0,5.0
677,Wannabe entrepreneur. Zombie geek. Freelance alcohol fanatic. Twitter fanatic. Typical bacon fan.,1.0,1.0,1.0,0.0,1.0,6.0,6.0,10.0
678,Certified pop culture geek. Troublemaker. Zombie trailblazer. Coffee fanatic. Creator.,9.0,4.0,8.0,4.0,2.0,8.0,1.0,2.0
679,Lifelong bacon expert. Beer fanatic. Future teen idol. Hipster-friendly internet junkie. Professional web ninja.,0.0,8.0,2.0,5.000000000000001,6.0,6.0,5.000000000000001,1.0
680,Passionate pop culture lover. Twitter fanatic. Lifelong web junkie. Freelance travel advocate. Friendly organizer.,9.0,6.999999999999999,2.0,9.0,3.0,9.0,5.000000000000001,2.0
681,Student. Wannabe tv scholar. Problem solver. Beer trailblazer. Hardcore web evangelist.,1.0,5.000000000000001,6.999999999999999,6.999999999999999,0.0,6.0,1.0,1.0
682,Award-winning bacon enthusiast. Amateur student. Proud creator. Troublemaker. Introvert.,8.0,9.0,4.0,8.0,2.0,3.0,6.999999999999999,5.0
683,Music trailblazer. Social media evangelist. Freelance introvert. Evil pop culture maven.,6.0,8.0,2.0,5.000000000000001,1.0,2.0,2.0,2.0
684,Hardcore introvert. Beer lover. Passionate analyst. Music buff. Friendly web aficionado. Award-winning gamer. Alcohol ninja.,8.0,6.0,9.0,6.0,4.0,6.0,5.000000000000001,9.0
685,Hipster-friendly analyst. Problem solver. Explorer. Internet junkie. Future teen idol. Avid twitter expert.,4.0,8.0,2.0,5.000000000000001,0.0,3.0,6.0,1.0
686,Wannabe coffee fan. Subtly charming thinker. Analyst. Music aficionado. Organizer. Passionate tv maven. Baconaholic.,0.0,3.0,9.0,6.999999999999999,9.0,1.0,5.000000000000001,5.0
687,Hardcore entrepreneur. Internet geek. Typical beer advocate. Devoted web fanatic. Alcohol ninja. Zombie practitioner.,0.0,6.999999999999999,2.0,9.0,1.0,6.0,2.0,10.0
688,Thinker. Evil pop culture practitioner. Reader. Web advocate. Hardcore tvaholic.,5.000000000000001,3.0,9.0,5.000000000000001,6.0,9.0,6.0,0.0
689,Troublemaker. Typical social media advocate. Entrepreneur. Zombie scholar. Music geek. Evil internet fanatic.,9.0,4.0,4.0,5.000000000000001,0.0,5.000000000000001,3.0,10.0
690,Falls down a lot. Pop culture geek. Avid social media fan. Friendly bacon specialist. Wannabe zombie evangelist. Typical beer maven.,9.0,4.0,8.0,1.0,9.0,4.0,3.0,2.0
691,General beer aficionado. Internetaholic. Bacon practitioner. Unapologetic student. Writer.,4.0,9.0,8.0,6.999999999999999,6.999999999999999,4.0,3.0,5.0
692,Wannabe entrepreneur. Zombie geek. Freelance alcohol fanatic. Twitter fanatic. Typical bacon fan.,5.000000000000001,5.000000000000001,2.0,8.0,9.0,8.0,1.0,10.0
693,Certified pop culture geek. Troublemaker. Zombie trailblazer. Coffee fanatic. Creator.,0.0,3.0,5.000000000000001,6.0,6.999999999999999,6.999999999999999,8.0,2.0
694,Lifelong bacon expert. Beer fanatic. Future teen idol. Hipster-friendly internet junkie. Professional web ninja.,6.999999999999999,0.0,4.0,9.0,9.0,5.000000000000001,8.0,1.0
695,Passionate pop culture lover. Twitter fanatic. Lifelong web junkie. Freelance travel advocate. Friendly organizer.,4.0,5.000000000000001,3.0,6.999999999999999,6.0,9.0,2.0,2.0
696,Student. Wannabe tv scholar. Problem solver. Beer trailblazer. Hardcore web evangelist.,9.0,6.0,5.000000000000001,6.0,4.0,9.0,1.0,1.0
697,Award-winning bacon enthusiast. Amateur student. Proud creator. Troublemaker. Introvert.,9.0,6.999999999999999,5.000000000000001,9.0,6.0,0.0,1.0,5.0
698,Music trailblazer. Social media evangelist. Freelance introvert. Evil pop culture maven.,5.000000000000001,4.0,8.0,2.0,5.000000000000001,3.0,0.0,2.0
699,Hardcore introvert. Beer lover. Passionate analyst. Music buff. Friendly web aficionado. Award-winning gamer. Alcohol ninja.,6.0,6.999999999999999,1.0,9.0,5.000000000000001,2.0,4.0,9.0
700,Hipster-friendly analyst. Problem solver. Explorer. Internet junkie. Future teen idol. Avid twitter expert.,6.0,8.0,6.0,9.0,3.0,6.999999999999999,3.0,1.0
701,Wannabe coffee fan. Subtly charming thinker. Analyst. Music aficionado. Organizer. Passionate tv maven. Baconaholic.,3.0,5.000000000000001,0.0,1.0,5.000000000000001,1.0,5.000000000000001,5.0
702,Hardcore entrepreneur. Internet geek. Typical beer advocate. Devoted web fanatic. Alcohol ninja. Zombie practitioner.,0.0,5.000000000000001,4.0,0.0,6.0,9.0,0.0,10.0
703,Thinker. Evil pop culture practitioner. Reader. Web advocate. Hardcore tvaholic.,0.0,0.0,6.0,2.0,5.000000000000001,8.0,8.0,0.0
704,Troublemaker. Typical social media advocate. Entrepreneur. Zombie scholar. Music geek. Evil internet fanatic.,8.0,1.0,5.000000000000001,4.0,9.0,6.0,1.0,10.0
705,Falls down a lot. Pop culture geek. Avid social media fan. Friendly bacon specialist. Wannabe zombie evangelist. Typical beer maven.,3.0,4.0,9.0,8.0,8.0,6.0,5.000000000000001,2.0
706,General beer aficionado. Internetaholic. Bacon practitioner. Unapologetic student. Writer.,2.0,8.0,2.0,2.0,2.0,4.0,0.0,5.0
707,Wannabe entrepreneur. Zombie geek. Freelance alcohol fanatic. Twitter fanatic. Typical bacon fan.,9.0,4.0,5.000000000000001,9.0,2.0,4.0,9.0,10.0
708,Certified pop culture geek. Troublemaker. Zombie trailblazer. Coffee fanatic. Creator.,8.0,9.0,8.0,9.0,9.0,2.0,6.0,2.0
709,Lifelong bacon expert. Beer fanatic. Future teen idol. Hipster-friendly internet junkie. Professional web ninja.,4.0,2.0,1.0,9.0,3.0,6.0,5.000000000000001,1.0
710,Passionate pop culture lover. Twitter fanatic. Lifelong web junkie. Freelance travel advocate. Friendly organizer.,6.999999999999999,6.0,2.0,3.0,5.000000000000001,3.0,1.0,2.0
711,Student. Wannabe tv scholar. Problem solver. Beer trailblazer. Hardcore web evangelist.,0.0,0.0,2.0,6.0,1.0,4.0,0.0,1.0
712,Award-winning bacon enthusiast. Amateur student. Proud creator. Troublemaker. Introvert.,2.0,9.0,3.0,3.0,4.0,2.0,9.0,5.0
713,Music trailblazer. Social media evangelist. Freelance introvert. Evil pop culture maven.,0.0,9.0,9.0,0.0,6.999999999999999,2.0,4.0,2.0
714,Hardcore introvert. Beer lover. Passionate analyst. Music buff. Friendly web aficionado. Award-winning gamer. Alcohol ninja.,4.0,1.0,6.999999999999999,2.0,0.0,6.999999999999999,5.000000000000001,9.0
715,Hipster-friendly analyst. Problem solver. Explorer. Internet junkie. Future teen idol. Avid twitter expert.,9.0,1.0,8.0,8.0,0.0,0.0,1.0,1.0
716,Wannabe coffee fan. Subtly charming thinker. Analyst. Music aficionado. Organizer. Passionate tv maven. Baconaholic.,3.0,2.0,3.0,1.0,1.0,8.0,6.999999999999999,5.0
717,Hardcore entrepreneur. Internet geek. Typical beer advocate. Devoted web fanatic. Alcohol ninja. Zombie practitioner.,0.0,0.0,1.0,6.999999999999999,0.0,0.0,3.0,10.0
718,Thinker. Evil pop culture practitioner. Reader. Web advocate. Hardcore tvaholic.,2.0,6.999999999999999,5.000000000000001,3.0,4.0,9.0,4.0,0.0
719,Troublemaker. Typical social media advocate. Entrepreneur. Zombie scholar. Music geek. Evil internet fanatic.,0.0,2.0,3.0,5.000000000000001,2.0,6.999999999999999,0.0,10.0
720,Falls down a lot. Pop culture geek. Avid social media fan. Friendly bacon specialist. Wannabe zombie evangelist. Typical beer maven.,0.0,1.0,8.0,5.000000000000001,8.0,6.999999999999999,1.0,2.0
721,General beer aficionado. Internetaholic. Bacon practitioner. Unapologetic student. Writer.,6.999999999999999,9.0,0.0,3.0,1.0,6.999999999999999,3.0,5.0
722,Wannabe entrepreneur. Zombie geek. Freelance alcohol fanatic. Twitter fanatic. Typical bacon fan.,6.999999999999999,1.0,0.0,4.0,6.0,2.0,1.0,10.0
723,Certified pop culture geek. Troublemaker. Zombie trailblazer. Coffee fanatic. Creator.,0.0,9.0,9.0,9.0,3.0,4.0,0.0,2.0
724,Lifelong bacon expert. Beer fanatic. Future teen idol. Hipster-friendly internet junkie. Professional web ninja.,1.0,3.0,3.0,9.0,8.0,4.0,3.0,1.0
725,Passionate pop culture lover. Twitter fanatic. Lifelong web junkie. Freelance travel advocate. Friendly organizer.,5.000000000000001,3.0,0.0,4.0,6.999999999999999,5.000000000000001,6.999999999999999,2.0
726,Student. Wannabe tv scholar. Problem solver. Beer trailblazer. Hardcore web evangelist.,3.0,3.0,3.0,0.0,6.999999999999999,6.999999999999999,9.0,1.0
727,Award-winning bacon enthusiast. Amateur student. Proud creator. Troublemaker. Introvert.,8.0,6.0,3.0,2.0,5.000000000000001,6.0,8.0,5.0
728,Music trailblazer. Social media evangelist. Freelance introvert. Evil pop culture maven.,1.0,9.0,1.0,8.0,5.000000000000001,6.0,1.0,2.0
729,Hardcore introvert. Beer lover. Passionate analyst. Music buff. Friendly web aficionado. Award-winning gamer. Alcohol ninja.,0.0,4.0,6.999999999999999,3.0,3.0,3.0,6.999999999999999,9.0
730,Hipster-friendly analyst. Problem solver. Explorer. Internet junkie. Future teen idol. Avid twitter expert.,6.0,4.0,9.0,2.0,6.0,3.0,3.0,1.0
731,Wannabe coffee fan. Subtly charming thinker. Analyst. Music aficionado. Organizer. Passionate tv maven. Baconaholic.,2.0,8.0,9.0,2.0,6.999999999999999,6.0,3.0,5.0
732,Hardcore entrepreneur. Internet geek. Typical beer advocate. Devoted web fanatic. Alcohol ninja. Zombie practitioner.,1.0,8.0,4.0,6.0,5.000000000000001,6.0,8.0,10.0
733,Thinker. Evil pop culture practitioner. Reader. Web advocate. Hardcore tvaholic.,0.0,1.0,0.0,2.0,3.0,4.0,8.0,0.0
734,Troublemaker. Typical social media advocate. Entrepreneur. Zombie scholar. Music geek. Evil internet fanatic.,8.0,6.0,6.999999999999999,5.000000000000001,3.0,2.0,3.0,10.0
735,Falls down a lot. Pop culture geek. Avid social media fan. Friendly bacon specialist. Wannabe zombie evangelist. Typical beer maven.,0.0,3.0,3.0,1.0,6.0,0.0,8.0,2.0
736,General beer aficionado. Internetaholic. Bacon practitioner. Unapologetic student. Writer.,2.0,1.0,3.0,9.0,6.0,8.0,2.0,5.0
737,Wannabe entrepreneur. Zombie geek. Freelance alcohol fanatic. Twitter fanatic. Typical bacon fan.,2.0,3.0,0.0,8.0,1.0,1.0,8.0,10.0
738,Certified pop culture geek. Troublemaker. Zombie trailblazer. Coffee fanatic. Creator.,8.0,6.999999999999999,6.999999999999999,3.0,5.000000000000001,0.0,0.0,2.0
739,Lifelong bacon expert. Beer fanatic. Future teen idol. Hipster-friendly internet junkie. Professional web ninja.,6.0,6.0,4.0,0.0,4.0,1.0,2.0,1.0
740,Passionate pop culture lover. Twitter fanatic. Lifelong web junkie. Freelance travel advocate. Friendly organizer.,0.0,6.999999999999999,5.000000000000001,1.0,4.0,3.0,3.0,2.0
741,Student. Wannabe tv scholar. Problem solver. Beer trailblazer. Hardcore web evangelist.,2.0,1.0,4.0,1.0,6.999999999999999,2.0,8.0,1.0
742,Award-winning bacon enthusiast. Amateur student. Proud creator. Troublemaker. Introvert.,5.000000000000001,1.0,6.0,2.0,1.0,9.0,9.0,5.0
743,Music trailblazer. Social media evangelist. Freelance introvert. Evil pop culture maven.,4.0,5.000000000000001,5.000000000000001,2.0,2.0,6.999999999999999,9.0,2.0
744,Hardcore introvert. Beer lover. Passionate analyst. Music buff. Friendly web aficionado. Award-winning gamer. Alcohol ninja.,6.0,0.0,8.0,2.0,4.0,6.0,9.0,9.0
745,Hipster-friendly analyst. Problem solver. Explorer. Internet junkie. Future teen idol. Avid twitter expert.,0.0,5.000000000000001,2.0,4.0,5.000000000000001,1.0,5.000000000000001,1.0
746,Wannabe coffee fan. Subtly charming thinker. Analyst. Music aficionado. Organizer. Passionate tv maven. Baconaholic.,1.0,0.0,9.0,9.0,1.0,6.999999999999999,6.999999999999999,5.0
747,Hardcore entrepreneur. Internet geek. Typical beer advocate. Devoted web fanatic. Alcohol ninja. Zombie practitioner.,5.000000000000001,1.0,2.0,3.0,1.0,0.0,1.0,10.0
748,Thinker. Evil pop culture practitioner. Reader. Web advocate. Hardcore tvaholic.,4.0,5.000000000000001,4.0,4.0,0.0,3.0,0.0,0.0
749,Troublemaker. Typical social media advocate. Entrepreneur. Zombie scholar. Music geek. Evil internet fanatic.,4.0,1.0,4.0,0.0,3.0,6.0,2.0,10.0
750,Falls down a lot. Pop culture geek. Avid social media fan. Friendly bacon specialist. Wannabe zombie evangelist. Typical beer maven.,5.000000000000001,2.0,2.0,4.0,4.0,3.0,6.999999999999999,2.0
751,General beer aficionado. Internetaholic. Bacon practitioner. Unapologetic student. Writer.,6.999999999999999,2.0,2.0,1.0,6.0,4.0,6.999999999999999,5.0
752,Wannabe entrepreneur. Zombie geek. Freelance alcohol fanatic. Twitter fanatic. Typical bacon fan.,0.0,6.999999999999999,0.0,6.999999999999999,1.0,8.0,4.0,10.0
753,Certified pop culture geek. Troublemaker. Zombie trailblazer. Coffee fanatic. Creator.,1.0,4.0,5.000000000000001,4.0,3.0,6.999999999999999,1.0,2.0
754,Lifelong bacon expert. Beer fanatic. Future teen idol. Hipster-friendly internet junkie. Professional web ninja.,2.0,2.0,2.0,9.0,4.0,8.0,6.0,1.0
755,Passionate pop culture lover. Twitter fanatic. Lifelong web junkie. Freelance travel advocate. Friendly organizer.,3.0,3.0,2.0,9.0,5.000000000000001,6.999999999999999,8.0,2.0
756,Student. Wannabe tv scholar. Problem solver. Beer trailblazer. Hardcore web evangelist.,0.0,6.0,6.0,1.0,6.0,9.0,2.0,1.0
757,Award-winning bacon enthusiast. Amateur student. Proud creator. Troublemaker. Introvert.,6.0,8.0,9.0,3.0,0.0,9.0,9.0,5.0
758,Music trailblazer. Social media evangelist. Freelance introvert. Evil pop culture maven.,0.0,5.000000000000001,8.0,3.0,8.0,0.0,5.000000000000001,2.0
759,Hardcore introvert. Beer lover. Passionate analyst. Music buff. Friendly web aficionado. Award-winning gamer. Alcohol ninja.,0.0,3.0,4.0,5.000000000000001,5.000000000000001,8.0,6.0,9.0
760,Hipster-friendly analyst. Problem solver. Explorer. Internet junkie. Future teen idol. Avid twitter expert.,0.0,1.0,9.0,0.0,6.999999999999999,1.0,4.0,1.0
761,Wannabe coffee fan. Subtly charming thinker. Analyst. Music aficionado. Organizer. Passionate tv maven. Baconaholic.,5.000000000000001,6.0,5.000000000000001,9.0,2.0,0.0,1.0,5.0
762,Hardcore entrepreneur. Internet geek. Typical beer advocate. Devoted web fanatic. Alcohol ninja. Zombie practitioner.,8.0,6.999999999999999,4.0,6.999999999999999,6.999999999999999,4.0,3.0,10.0
763,Thinker. Evil pop culture practitioner. Reader. Web advocate. Hardcore tvaholic.,8.0,2.0,5.000000000000001,2.0,0.0,2.0,9.0,0.0
764,Troublemaker. Typical social media advocate. Entrepreneur. Zombie scholar. Music geek. Evil internet fanatic.,6.999999999999999,2.0,5.000000000000001,6.999999999999999,1.0,1.0,0.0,10.0
765,Falls down a lot. Pop culture geek. Avid social media fan. Friendly bacon specialist. Wannabe zombie evangelist. Typical beer maven.,2.0,2.0,4.0,8.0,8.0,6.999999999999999,3.0,2.0
766,General beer aficionado. Internetaholic. Bacon practitioner. Unapologetic student. Writer.,3.0,1.0,6.0,5.000000000000001,5.000000000000001,6.0,2.0,5.0
767,Wannabe entrepreneur. Zombie geek. Freelance alcohol fanatic. Twitter fanatic. Typical bacon fan.,2.0,6.999999999999999,4.0,5.000000000000001,4.0,4.0,6.999999999999999,10.0
768,Certified pop culture geek. Troublemaker. Zombie trailblazer. Coffee fanatic. Creator.,2.0,6.0,6.999999999999999,5.000000000000001,2.0,1.0,3.0,2.0
769,Lifelong bacon expert. Beer fanatic. Future teen idol. Hipster-friendly internet junkie. Professional web ninja.,6.0,2.0,2.0,2.0,2.0,8.0,6.999999999999999,1.0
770,Passionate pop culture lover. Twitter fanatic. Lifelong web junkie. Freelance travel advocate. Friendly organizer.,6.999999999999999,6.999999999999999,0.0,5.000000000000001,9.0,2.0,9.0,2.0
771,Student. Wannabe tv scholar. Problem solver. Beer trailblazer. Hardcore web evangelist.,5.000000000000001,0.0,2.0,5.000000000000001,8.0,2.0,1.0,1.0
772,Award-winning bacon enthusiast. Amateur student. Proud creator. Troublemaker. Introvert.,6.999999999999999,6.0,6.0,0.0,6.999999999999999,1.0,6.999999999999999,5.0
773,Music trailblazer. Social media evangelist. Freelance introvert. Evil pop culture maven.,2.0,4.0,5.000000000000001,3.0,2.0,3.0,2.0,2.0
774,Hardcore introvert. Beer lover. Passionate analyst. Music buff. Friendly web aficionado. Award-winning gamer. Alcohol ninja.,2.0,6.0,9.0,0.0,8.0,9.0,1.0,9.0
775,Hipster-friendly analyst. Problem solver. Explorer. Internet junkie. Future teen idol. Avid twitter expert.,5.000000000000001,3.0,0.0,4.0,5.000000000000001,0.0,9.0,1.0
776,Wannabe coffee fan. Subtly charming thinker. Analyst. Music aficionado. Organizer. Passionate tv maven. Baconaholic.,8.0,0.0,0.0,2.0,3.0,0.0,0.0,5.0
777,Hardcore entrepreneur. Internet geek. Typical beer advocate. Devoted web fanatic. Alcohol ninja. Zombie practitioner.,3.0,8.0,4.0,1.0,6.0,5.000000000000001,1.0,10.0
778,Thinker. Evil pop culture practitioner. Reader. Web advocate. Hardcore tvaholic.,9.0,1.0,6.999999999999999,1.0,4.0,1.0,2.0,0.0
779,Troublemaker. Typical social media advocate. Entrepreneur. Zombie scholar. Music geek. Evil internet fanatic.,4.0,6.999999999999999,4.0,6.999999999999999,0.0,4.0,6.0,10.0
780,Falls down a lot. Pop culture geek. Avid social media fan. Friendly bacon specialist. Wannabe zombie evangelist. Typical beer maven.,4.0,2.0,6.999999999999999,6.0,9.0,6.0,5.000000000000001,2.0
781,General beer aficionado. Internetaholic. Bacon practitioner. Unapologetic student. Writer.,8.0,6.0,0.0,8.0,8.0,6.999999999999999,5.000000000000001,5.0
782,Wannabe entrepreneur. Zombie geek. Freelance alcohol fanatic. Twitter fanatic. Typical bacon fan.,9.0,1.0,9.0,6.999999999999999,8.0,0.0,6.999999999999999,10.0
783,Certified pop culture geek. Troublemaker. Zombie trailblazer. Coffee fanatic. Creator.,0.0,6.999999999999999,8.0,6.0,0.0,9.0,2.0,2.0
784,Lifelong bacon expert. Beer fanatic. Future teen idol. Hipster-friendly internet junkie. Professional web ninja.,5.000000000000001,2.0,1.0,0.0,0.0,1.0,4.0,1.0
785,Passionate pop culture lover. Twitter fanatic. Lifelong web junkie. Freelance travel advocate. Friendly organizer.,2.0,9.0,8.0,6.999999999999999,3.0,4.0,3.0,2.0
786,Student. Wannabe tv scholar. Problem solver. Beer trailblazer. Hardcore web evangelist.,3.0,3.0,0.0,8.0,6.999999999999999,8.0,2.0,1.0
787,Award-winning bacon enthusiast. Amateur student. Proud creator. Troublemaker. Introvert.,8.0,2.0,0.0,6.999999999999999,0.0,8.0,4.0,5.0
788,Music trailblazer. Social media evangelist. Freelance introvert. Evil pop culture maven.,1.0,1.0,1.0,1.0,2.0,5.000000000000001,8.0,2.0
789,Hardcore introvert. Beer lover. Passionate analyst. Music buff. Friendly web aficionado. Award-winning gamer. Alcohol ninja.,6.0,6.0,3.0,6.0,4.0,6.999999999999999,8.0,9.0
790,Hipster-friendly analyst. Problem solver. Explorer. Internet junkie. Future teen idol. Avid twitter expert.,3.0,4.0,6.999999999999999,3.0,9.0,6.999999999999999,2.0,1.0
791,Wannabe coffee fan. Subtly charming thinker. Analyst. Music aficionado. Organizer. Passionate tv maven. Baconaholic.,4.0,1.0,6.999999999999999,4.0,9.0,5.000000000000001,9.0,5.0
792,Hardcore entrepreneur. Internet geek. Typical beer advocate. Devoted web fanatic. Alcohol ninja. Zombie practitioner.,4.0,9.0,6.0,2.0,6.0,1.0,5.000000000000001,10.0
793,Thinker. Evil pop culture practitioner. Reader. Web advocate. Hardcore tvaholic.,8.0,6.0,0.0,6.0,0.0,0.0,3.0,0.0
794,Troublemaker. Typical social media advocate. Entrepreneur. Zombie scholar. Music geek. Evil internet fanatic.,3.0,6.0,6.999999999999999,6.999999999999999,2.0,9.0,5.000000000000001,10.0
795,Falls down a lot. Pop culture geek. Avid social media fan. Friendly bacon specialist. Wannabe zombie evangelist. Typical beer maven.,3.0,4.0,8.0,6.0,0.0,6.0,6.0,2.0
796,General beer aficionado. Internetaholic. Bacon practitioner. Unapologetic student. Writer.,9.0,8.0,2.0,9.0,9.0,6.0,6.999999999999999,5.0
797,Wannabe entrepreneur. Zombie geek. Freelance alcohol fanatic. Twitter fanatic. Typical bacon fan.,3.0,0.0,6.999999999999999,6.999999999999999,4.0,4.0,6.999999999999999,10.0
798,Certified pop culture geek. Troublemaker. Zombie trailblazer. Coffee fanatic. Creator.,3.0,1.0,2.0,8.0,8.0,0.0,6.0,2.0
799,Lifelong bacon expert. Beer fanatic. Future teen idol. Hipster-friendly internet junkie. Professional web ninja.,8.0,5.000000000000001,1.0,6.0,5.000000000000001,3.0,5.000000000000001,1.0
800,Passionate pop culture lover. Twitter fanatic. Lifelong web junkie. Freelance travel advocate. Friendly organizer.,5.000000000000001,2.0,2.0,8.0,6.999999999999999,3.0,8.0,2.0
801,Student. Wannabe tv scholar. Problem solver. Beer trailblazer. Hardcore web evangelist.,1.0,1.0,2.0,9.0,6.999999999999999,9.0,6.0,1.0
802,Award-winning bacon enthusiast. Amateur student. Proud creator. Troublemaker. Introvert.,3.0,6.999999999999999,3.0,3.0,6.999999999999999,4.0,3.0,5.0
803,Music trailblazer. Social media evangelist. Freelance introvert. Evil pop culture maven.,9.0,2.0,1.0,3.0,4.0,6.0,5.000000000000001,2.0
804,Hardcore introvert. Beer lover. Passionate analyst. Music buff. Friendly web aficionado. Award-winning gamer. Alcohol ninja.,2.0,6.999999999999999,5.000000000000001,1.0,5.000000000000001,6.999999999999999,5.000000000000001,9.0
805,Hipster-friendly analyst. Problem solver. Explorer. Internet junkie. Future teen idol. Avid twitter expert.,9.0,9.0,5.000000000000001,6.999999999999999,4.0,3.0,5.000000000000001,1.0
806,Wannabe coffee fan. Subtly charming thinker. Analyst. Music aficionado. Organizer. Passionate tv maven. Baconaholic.,5.000000000000001,9.0,0.0,9.0,8.0,3.0,9.0,5.0
807,Hardcore entrepreneur. Internet geek. Typical beer advocate. Devoted web fanatic. Alcohol ninja. Zombie practitioner.,6.0,3.0,4.0,9.0,5.000000000000001,8.0,2.0,10.0
808,Thinker. Evil pop culture practitioner. Reader. Web advocate. Hardcore tvaholic.,6.999999999999999,4.0,2.0,1.0,3.0,0.0,6.0,0.0
809,Troublemaker. Typical social media advocate. Entrepreneur. Zombie scholar. Music geek. Evil internet fanatic.,8.0,3.0,2.0,5.000000000000001,1.0,3.0,5.000000000000001,10.0
810,Falls down a lot. Pop culture geek. Avid social media fan. Friendly bacon specialist. Wannabe zombie evangelist. Typical beer maven.,6.0,9.0,2.0,0.0,3.0,3.0,3.0,2.0
811,General beer aficionado. Internetaholic. Bacon practitioner. Unapologetic student. Writer.,3.0,9.0,3.0,5.000000000000001,1.0,9.0,8.0,5.0
812,Wannabe entrepreneur. Zombie geek. Freelance alcohol fanatic. Twitter fanatic. Typical bacon fan.,1.0,6.999999999999999,2.0,9.0,6.999999999999999,0.0,5.000000000000001,10.0
813,Certified pop culture geek. Troublemaker. Zombie trailblazer. Coffee fanatic. Creator.,8.0,8.0,6.999999999999999,6.0,2.0,6.0,6.0,2.0
814,Lifelong bacon expert. Beer fanatic. Future teen idol. Hipster-friendly internet junkie. Professional web ninja.,9.0,2.0,8.0,1.0,8.0,6.999999999999999,5.000000000000001,1.0
815,Passionate pop culture lover. Twitter fanatic. Lifelong web junkie. Freelance travel advocate. Friendly organizer.,3.0,8.0,3.0,6.999999999999999,8.0,1.0,6.0,2.0
816,Student. Wannabe tv scholar. Problem solver. Beer trailblazer. Hardcore web evangelist.,4.0,4.0,0.0,5.000000000000001,3.0,3.0,2.0,1.0
817,Award-winning bacon enthusiast. Amateur student. Proud creator. Troublemaker. Introvert.,5.000000000000001,2.0,6.999999999999999,0.0,2.0,3.0,3.0,5.0
818,Music trailblazer. Social media evangelist. Freelance introvert. Evil pop culture maven.,2.0,6.999999999999999,2.0,6.0,9.0,6.0,0.0,2.0
819,Hardcore introvert. Beer lover. Passionate analyst. Music buff. Friendly web aficionado. Award-winning gamer. Alcohol ninja.,3.0,8.0,2.0,6.0,5.000000000000001,4.0,8.0,9.0
820,Hipster-friendly analyst. Problem solver. Explorer. Internet junkie. Future teen idol. Avid twitter expert.,9.0,1.0,5.000000000000001,8.0,6.999999999999999,2.0,6.0,1.0
821,Wannabe coffee fan. Subtly charming thinker. Analyst. Music aficionado. Organizer. Passionate tv maven. Baconaholic.,8.0,8.0,8.0,3.0,3.0,0.0,6.999999999999999,5.0
822,Hardcore entrepreneur. Internet geek. Typical beer advocate. Devoted web fanatic. Alcohol ninja. Zombie practitioner.,3.0,4.0,2.0,9.0,1.0,9.0,6.0,10.0
823,Thinker. Evil pop culture practitioner. Reader. Web advocate. Hardcore tvaholic.,6.999999999999999,0.0,1.0,6.0,2.0,8.0,8.0,0.0
824,Troublemaker. Typical social media advocate. Entrepreneur. Zombie scholar. Music geek. Evil internet fanatic.,6.999999999999999,4.0,9.0,9.0,1.0,6.0,6.0,10.0
825,Falls down a lot. Pop culture geek. Avid social media fan. Friendly bacon specialist. Wannabe zombie evangelist. Typical beer maven.,8.0,2.0,3.0,3.0,0.0,4.0,0.0,2.0
826,General beer aficionado. Internetaholic. Bacon practitioner. Unapologetic student. Writer.,2.0,2.0,4.0,3.0,3.0,9.0,2.0,5.0
827,Wannabe entrepreneur. Zombie geek. Freelance alcohol fanatic. Twitter fanatic. Typical bacon fan.,9.0,3.0,1.0,5.000000000000001,6.999999999999999,9.0,3.0,10.0
828,Certified pop culture geek. Troublemaker. Zombie trailblazer. Coffee fanatic. Creator.,6.0,5.000000000000001,9.0,6.999999999999999,3.0,5.000000000000001,6.0,2.0
829,Lifelong bacon expert. Beer fanatic. Future teen idol. Hipster-friendly internet junkie. Professional web ninja.,5.000000000000001,1.0,0.0,3.0,6.999999999999999,8.0,3.0,1.0
830,Passionate pop culture lover. Twitter fanatic. Lifelong web junkie. Freelance travel advocate. Friendly organizer.,6.999999999999999,6.999999999999999,5.000000000000001,0.0,4.0,6.0,3.0,2.0
831,Student. Wannabe tv scholar. Problem solver. Beer trailblazer. Hardcore web evangelist.,9.0,8.0,8.0,1.0,2.0,0.0,4.0,1.0
832,Award-winning bacon enthusiast. Amateur student. Proud creator. Troublemaker. Introvert.,0.0,8.0,1.0,0.0,9.0,6.0,6.999999999999999,5.0
833,Music trailblazer. Social media evangelist. Freelance introvert. Evil pop culture maven.,4.0,9.0,6.0,6.999999999999999,3.0,2.0,3.0,2.0
834,Hardcore introvert. Beer lover. Passionate analyst. Music buff. Friendly web aficionado. Award-winning gamer. Alcohol ninja.,0.0,9.0,4.0,2.0,3.0,0.0,2.0,9.0
